model,year,price,type,distance,fuel,tax,miles per galoon,size
3,2017,19998.0,2,13273.0,0,145.0,65.7,2.0
5,2014,17898.0,2,64215.0,0,160.0,49.6,3.0
1,2018,19990.0,2,5600.0,0,145.0,49.6,2.0
11,2017,16700.0,0,34666.0,0,145.0,65.7,2.0
2,2013,9498.0,2,55701.0,3,145.0,47.9,1.6
2,2018,27500.0,2,9329.0,0,145.0,51.4,3.0
0,2015,11498.0,1,49151.0,0,30.0,62.8,2.0
2,2019,32995.0,1,612.0,0,145.0,54.3,2.0
1,2015,11991.0,1,52656.0,0,30.0,62.8,2.0
4,2016,13500.0,0,64117.0,0,30.0,65.7,2.0
5,2018,27990.0,2,21525.0,0,150.0,49.6,3.0
4,2019,29500.0,0,3388.0,0,145.0,60.1,3.0
0,2020,31998.0,2,1560.0,0,150.0,48.7,2.0
4,2018,28998.0,2,26471.0,3,150.0,39.2,3.0
2,2017,19898.0,2,30824.0,1,140.0,104.0847498788246,2.0
4,2013,12791.0,2,55642.0,0,145.0,55.4,2.0
11,2017,14700.0,1,38405.0,0,145.0,68.9,2.0
13,2016,22000.0,2,25000.0,0,150.0,54.3,2.0
11,2016,18998.0,2,24347.0,0,150.0,55.4,2.0
0,2016,19498.0,2,33043.0,3,200.0,39.8,3.0
13,2019,39500.0,2,1704.0,0,145.0,54.3,2.0
11,2016,18998.0,1,10935.0,0,125.0,58.9,2.0
2,2017,12600.0,0,66743.0,0,30.0,67.3,2.0
4,2019,26000.0,2,4405.0,3,145.0,48.7,2.0
3,2019,25450.0,2,1000.0,0,150.0,60.1,2.0
3,2016,17995.0,2,22476.0,3,145.0,48.7,2.0
2,2019,21998.0,2,11300.0,0,150.0,55.4,2.0
4,2017,21440.0,2,34779.0,0,150.0,62.8,2.0
2,2015,15990.0,1,43574.0,3,200.0,39.8,2.0
2,2016,17950.0,0,40337.0,0,145.0,53.3,3.0
0,2019,16500.0,2,5000.0,0,145.0,72.4,1.5
4,2018,23500.0,2,23650.0,0,145.0,53.3,3.0
0,2014,13298.0,1,55834.0,3,295.32841497346675,35.3,3.0
17,2019,50647.05545071274,2,9200.0,0,145.0,31.4,3.0
13,2015,14998.0,2,34348.0,0,150.0,55.4,2.0
14,2016,21400.0,0,31084.0,0,145.0,54.3,2.0
3,2019,22500.0,2,5623.0,0,145.0,65.7,2.0
0,2019,19998.0,2,4812.0,3,145.0,47.9,2.0
0,2019,16500.0,1,5450.0,0,145.0,72.4,1.5
14,2019,33998.0,2,4231.0,0,150.0,42.8,2.0
11,2017,14000.0,0,54183.0,0,150.0,65.7,2.0
15,2013,24000.0,0,45150.0,0,200.0,45.6,3.0
0,2019,22700.0,2,14822.0,0,145.0,60.1,2.0
0,2016,13700.0,1,8719.0,3,125.0,52.3,1.5
2,2017,21898.0,2,10305.0,0,145.0,56.5,3.0
11,2016,16998.0,1,13612.0,0,125.0,60.1,2.0
0,2015,15499.0,2,20000.0,0,125.0,60.1,2.0
2,2013,9985.0,1,75561.0,0,20.0,68.9,2.0
